zipcode,age,creditcard,gender,salary
17439,88,5226060131335938,Male,4400
70508,93,5483792860441150,Male,2300
53604,68,5521615022615102,Male,3600
48678,26,5326940196311289,Male,1200
75932,75,5399441842980124,Female,4000
56574,27,5338275932765670,Female,6300
24839,51,5238163314068833,Female,6200
23235,55,5255974777644920,Female,7100
46964,49,5572998809261201,Female,1800
49134,46,5331706430213596,Male,7100
49679,69,5589443496828542,Female,1300
05948,79,5476540798029848,Male,6100
23296,46,5238601510452517,Female,5600
60317,100,5120768496805686,Male,2200
78337,42,5499290478343845,Male,4100
24060,20,5538700522015937,Male,1800
77114,43,5507870518416394,Male,9700
46904,40,5560408353121938,Male,8400
40349,66,5339946166907167,Male,4800
54697,87,5541334406525590,Female,3800
74167,56,5536732578073553,Male,1100
86851,93,5384680862435207,Female,1400
97612,88,5336613318145103,Female,3400
05176,25,5179104295013571,Female,8100
54716,77,5465115603528467,Female,3000
93581,63,5439760404555426,Male,4300
32943,83,5202663657008652,Male,6800
13635,35,5235505187070309,Male,1100
83812,66,5589187077985243,Male,1200
39185,83,5320026354804590,Male,9500
50866,93,5255832562806023,Female,8900
43776,72,5188981372876171,Male,2000
69910,34,5133044384683675,Male,800
44333,50,5441358968103059,Male,9000
15531,41,5102929367432594,Male,3500
17152,76,5232673835547806,Male,6100
84896,83,5228496576014695,Female,7500
82862,52,5200872015772626,Female,7500
97533,27,5241160950170639,Male,8800
23537,73,5142484869184238,Female,4100
24763,93,5254042240569669,Male,1700
96964,45,5284666017315874,Male,4700
53823,81,5262594779520513,Male,4500
08749,20,5129912815872388,Male,5500
16033,66,5500945375844974,Female,7500
98339,73,5212195642609599,Male,5500
99901,93,5243125642830310,Female,7500
30140,98,5237023795697032,Female,5500
32822,33,5420235632621580,Male,1000
25521,92,5428965579560654,Female,8000
99444,88,5585184511392676,Male,6000
98264,25,5282876440236496,Male,600
51779,67,5580749878538940,Male,3200
96272,91,5543763843568433,Male,9100
33905,70,5492660096708073,Female,2600
05487,21,5438545835708616,Male,3600
23680,32,5512589524618412,Male,9600
26700,60,5344712265753792,Female,9500
30863,22,5491100857254307,Female,6400
08514,43,5560264366239872,Female,3700
63023,35,5274335684886557,Male,2100
30752,57,5318087814304435,Female,1700
15930,43,5249364342651965,Male,9000
93890,98,5503497167337178,Male,1500
77068,35,5248543660968231,Female,8300
52531,47,5447882819293870,Male,3300
88266,18,5140062288532864,Female,5200
33463,63,5436567999659635,Male,2400
20917,70,5281205665972588,Male,7700
82724,33,5377302437070877,Male,7400
68690,79,5424811868965705,Female,3200
18051,18,5321772490775900,Male,7700
31277,66,5455378001205441,Female,200
17229,52,5508065563646180,Male,6400
09856,57,5467525027318071,Female,900
49147,57,5470973663931259,Female,1900
03586,26,5279041351656779,Male,9300
60649,91,5594904631523762,Female,3900
93043,43,5463366293066282,Female,2400
68896,93,5333768552091869,Male,6800
69659,24,5558292066247477,Male,7500
65884,67,5475480050565489,Female,8500
99772,64,5121557568347548,Female,9400
79436,31,5243495311011488,Female,1500
77536,33,5223469657257090,Female,1700
68704,46,5263998877517553,Male,1900
41525,19,5510794214490393,Female,6800
08063,44,5324924984779859,Male,4400
31344,25,5157328240596804,Female,6400
00019,48,5148234499441506,Female,1300
48826,68,5570327893905683,Female,8300
11099,30,5549628115984879,Female,5600
65495,97,5187141589924055,Female,5400
82070,56,5103782298476860,Male,6900
65884,41,5593853328858141,Male,3200
29009,69,5582501035859877,Female,2000
42895,35,5498637667997230,Female,9500
14885,23,5573350117744263,Male,1600
19939,85,5378581661015224,Male,9800
38504,68,5527733980848336,Male,8400
14300,27,5423146717617186,Male,3600
90031,89,5477103193722308,Female,9000
30169,92,5554148713764112,Female,4200
26875,47,5438962986737221,Male,5800
94854,27,5441985322017904,Female,6800
22590,40,5476024845933773,Female,2200
83933,35,5409283975842483,Male,2300
90928,67,5442525128891307,Male,6500
88213,73,5317048843621893,Female,2900
92394,67,5184087597183825,Female,9800
01514,21,5572571562722204,Male,100
04823,24,5301488983092471,Male,7700
61855,22,5581782486310062,Female,7900
97786,93,5336869111098192,Male,5500
58931,57,5426572512032346,Female,800
93905,42,5462799709149329,Male,9800
23754,81,5585207042274475,Male,3700
32699,19,5139366037942941,Female,4700
07883,59,5507616808006951,Female,1700
08718,83,5420930913415930,Male,1600
42624,75,5304669720654767,Male,9300
44333,74,5447325431061465,Female,7100
03222,25,5170683282415195,Female,5300
31537,69,5443004350861338,Male,9400
48749,24,5253433322519022,Female,7600
70493,87,5410926057372038,Female,400
68912,43,5452303872689260,Female,2000
32207,24,5159349934095950,Female,9500
93600,23,5503151343634939,Female,4600
15002,98,5531206286920673,Female,2100
89626,91,5324685441563679,Female,1100
52822,30,5469145511670107,Male,6800
50708,34,5344808768117327,Female,5300
32442,41,5500844224374574,Male,6400
96962,60,5137190098047446,Female,1900
80872,20,5196007627102245,Male,4200
06170,83,5244382253318304,Female,9700
01046,47,5309929287368572,Male,900
43679,86,5165989625771898,Female,9000
37868,64,5541756027602657,Male,1100
07641,87,5176627257417979,Male,100
58052,69,5232946624137538,Male,6500
27042,47,5100629056438751,Female,9800
77765,98,5322848059458754,Female,400
04987,24,5260572599103647,Male,500
43833,85,5328437736056100,Male,900
62925,77,5145370792451827,Female,8100
13873,65,5441019652976529,Male,8800
78142,100,5546346385846305,Male,5000
83538,81,5476006780085917,Female,7700
15316,79,5155935590573571,Female,5600
35278,40,5154086733594750,Male,1700
68434,88,5540733429216700,Female,8100
46333,86,5478870248720631,Female,1600
49452,52,5446262239835777,Female,7500
69556,41,5241013679527482,Female,6500
95387,61,5423457494816200,Female,4600
51665,30,5547753167539488,Female,9500
97304,35,5299554032072592,Female,7100
07314,53,5520865078478449,Male,5400
75583,72,5184443868477422,Female,8200
47549,43,5364077604341922,Male,6100
87751,61,5543393055479861,Male,4800
40726,55,5139212703486435,Male,7200
24589,18,5101966152747688,Female,4600
92013,90,5530946003393412,Male,6800
59379,28,5347177913396559,Female,9600
51968,60,5573402150533234,Male,4500
47587,33,5232270104319338,Male,8200
64954,42,5572266252477165,Female,1200
60979,83,5261981784289682,Female,2900
33038,73,5154811967441398,Male,5200
86114,29,5332859710169746,Male,5600
21774,68,5554792884000804,Female,5800
83262,86,5299139684830313,Female,9400
06615,34,5518946687456317,Male,1000
05945,65,5346208917654742,Female,8400
19232,47,5200142920541924,Female,2700
60443,37,5389888040391698,Male,6300
32265,33,5511760677158321,Female,9700
97962,25,5322548960485702,Female,6100
95250,27,5246266944629831,Female,2100
15683,73,5206768406436835,Female,1000
13880,60,5212221426315359,Male,2500
45015,85,5406488649216468,Female,5800
98109,39,5258194644582438,Female,9300
20720,32,5532791155981327,Female,7600
22486,63,5103943067578480,Male,400
01843,56,5501599495953543,Female,2900
34838,97,5320561316483257,Male,7500
59183,62,5399273681622842,Male,2900
51345,92,5227798469849041,Female,9300
35523,81,5245985138182213,Female,6500
18164,86,5128093014233101,Male,2800
46539,48,5327473992497556,Female,9100
46471,22,5184529533031881,Female,4100
26340,33,5380138371450427,Male,8300
35075,99,5593250123907639,Female,7600
92962,71,5588865486169795,Female,2900
63347,49,5309762099231864,Male,5400
07382,42,5399721894764702,Female,8000
16724,53,5341933371533109,Female,7400
99464,24,5135040775496618,Female,8200
06934,52,5512508187246774,Female,900
81091,100,5201810792425694,Female,3400
84702,62,5583970744100544,Female,200
75007,58,5547037213891394,Female,1000
53038,18,5312037633429562,Male,5700
46929,65,5259919183289055,Female,8300
49864,25,5245274997542464,Male,4300
74127,71,5478201957735877,Male,2400
68105,68,5260692229720360,Male,2400
43632,38,5287593284914774,Male,700
36702,42,5348745479900169,Female,8700
50298,36,5324523465529047,Male,7800
05378,74,5121931635633026,Female,6600
93065,86,5416693833913212,Female,2300
22576,36,5409121163504475,Male,9600
46985,88,5256339167436361,Male,9100
71877,32,5504194507493626,Male,4700
71730,29,5286797218818644,Female,7700
39378,35,5138932229002512,Female,6500
26974,97,5227247224946320,Male,2100
23105,94,5230945539480563,Female,5400
32092,52,5406213948417108,Male,200
23345,61,5169311227050736,Female,9200
08478,75,5410876173478963,Female,2900
09088,81,5593626699519009,Male,6200
84715,40,5157687900632278,Male,8300
75278,28,5492256342135698,Female,1000
65916,37,5187908464402120,Female,2300
75497,34,5271772840730472,Female,7400
53467,61,5403145874280311,Female,1400
77305,68,5230788271619695,Male,7700
99524,67,5556574783973994,Male,8100
01389,60,5375859060796864,Female,7600
53154,88,5511423078173163,Male,2800
95553,71,5105949055254479,Female,6200
88143,92,5314592792449304,Female,3700
20628,80,5275806233382016,Male,1700
68110,73,5456259045557063,Male,4300
58361,35,5442056245354102,Male,4200
10696,47,5537578846389860,Female,6200
88578,86,5396930945670213,Female,5500
26278,23,5365364319476162,Female,6800
43891,79,5122377511690491,Male,4800
62577,73,5425170452202309,Female,2100
34980,61,5193759102665822,Male,1600
84320,63,5416682237242344,Male,8200
65691,86,5363435945905212,Male,1600
50463,27,5104006338696280,Female,2000
29368,32,5237059004313219,Male,6200
29534,48,5312037633429562,Female,6900
94002,93,5477580026199236,Female,6000
99868,59,5249231981980965,Female,1600
53744,22,5486330922389609,Female,6700
71456,49,5550700841392812,Female,3200
32915,72,5244027538118058,Male,7400
95855,56,5188445398747717,Female,8500
22427,87,5482706363486554,Female,700
15600,81,5391054764640325,Female,1700
14440,45,5342140519111603,Female,400
39056,58,5422374375955604,Female,10000
82024,39,5485547638990526,Male,900
89988,61,5544016002939278,Female,200
46792,22,5517185189122314,Male,7200
67280,22,5260801451077338,Female,1900
10988,47,5174222170073547,Male,3900
01658,22,5496867548612292,Male,7000
83954,69,5578478739568581,Female,10000
92564,26,5583319892315662,Female,1700
93242,38,5107483717458425,Male,5800
31962,72,5355816056150856,Female,700
98480,59,5100965390799833,Female,6900
30106,90,5225332187656355,Male,6700
60573,59,5346880552647924,Female,1600
92192,51,5158356164158326,Female,1700
33895,49,5315812039780413,Male,8900
25157,31,5571184741624712,Male,2500
91502,78,5178814721437845,Female,600
99720,43,5263027077377764,Male,3100
18496,46,5472910759966607,Male,3500
54185,89,5587903235325102,Female,300
06559,79,5376972748732513,Male,500
99481,65,5522516496733760,Male,7500
78236,48,5472934805042726,Female,6900
21380,73,5120640177284376,Female,9800
42132,69,5139078145538079,Female,7800
21419,94,5416955508422286,Female,8000
06354,93,5379271274278216,Male,2300
56991,67,5430152510007055,Female,1300
76740,87,5202629919833278,Male,8600
42574,53,5424531850687279,Male,1400
35937,84,5388817649920111,Male,9300
75594,60,5186771899650577,Male,2500
96780,48,5256081868290354,Male,8100
06245,22,5229750212466787,Male,1600
92533,50,5272830833146350,Male,9000
38215,64,5117523434469136,Female,4800
79287,98,5271979050959689,Male,9200
08082,41,5166720509837326,Male,7000
92743,40,5517848916594168,Female,100
05530,46,5409982988548157,Female,1900
18232,23,5263425963367990,Female,5200
59915,41,5220861768672907,Female,5300
15925,72,5201908229361076,Male,8300
58207,60,5223469657257090,Female,8700
23811,26,5245379555507187,Female,7100
50675,94,5114287930325373,Male,4000
98261,68,5244472376214199,Female,9000
57941,64,5392506517809647,Male,7200
22725,29,5168574971009346,Female,7500
39879,79,5578581446370835,Female,8500
58620,23,5581566661140877,Female,3900
92381,94,5431376382412296,Male,200
21127,21,5343497578393426,Male,5000
86362,43,5172497348316794,Female,8500
23609,49,5124433830674407,Female,500
84072,100,5336612925053783,Female,1100
82674,36,5365578091903396,Female,7600
82140,69,5162384492362687,Female,9800
62131,25,5407119200524540,Female,100
78376,62,5586038765661427,Male,1100
12239,69,5546606807315837,Female,9000
90758,97,5537897915945695,Female,1000
74238,76,5166844106846355,Male,1000
16554,63,5429537833008942,Female,900
15533,56,5342898921051036,Female,8500
51365,64,5548930946405822,Female,6400
36235,35,5281711783031900,Male,1200
41799,19,5266324956216701,Female,9900
56620,23,5428075710148342,Male,8300
69349,59,5590520036687517,Female,1500
44667,36,5432457888412409,Female,6700
89259,62,5520933266210683,Male,8200
07849,59,5349732155676635,Female,1800
90583,49,5502675265411976,Female,800
89633,80,5253300225949632,Male,1300
59818,73,5143418610359201,Male,9600
38724,95,5139873882144085,Female,8000
63367,61,5263773569024352,Female,3900
36549,20,5241828170181442,Female,8300
38160,51,5333389289726501,Male,8300
66402,22,5504946112285097,Female,7400
65100,33,5284533637947728,Female,8000
45750,44,5436825534488724,Female,9900
21167,85,5490274258970323,Male,1200
15980,38,5566506761343186,Male,9300
46741,90,5199189366496405,Male,7700
87932,75,5384229270230527,Male,8600
87732,94,5361074504567634,Male,9000
75887,83,5516155027468865,Female,6700
08257,47,5568897603763030,Female,1600
42954,46,5595458427270533,Female,7100
79726,89,5552419934237572,Male,8500
76276,21,5280153208366556,Female,4500
17170,43,5445533485816534,Male,4100
30555,31,5447967726041569,Female,9200
29884,91,5428883012197994,Female,2900
40177,22,5133669132778680,Female,2800
17366,35,5231273886645145,Male,7800
57480,67,5368704533198398,Male,2300
15607,49,5397589971206893,Female,2400
16364,55,5409925644472759,Female,6200
15803,32,5495924028274589,Female,7600
66291,20,5495672886340592,Female,8100
15654,34,5572777951322395,Female,9000
34282,87,5296829429235397,Female,3800
12758,86,5565954015763034,Female,3500
58507,32,5255738196108811,Female,1100
63067,78,5377266799869905,Female,3800
70012,90,5199564852563506,Female,4000
94699,40,5249655125957903,Female,1500
42418,72,5308539898651240,Female,1900
70610,82,5497082047680373,Female,800
58666,70,5131509673119203,Female,8400
48875,32,5283348529349482,Female,1800
60180,94,5275453922220429,Female,4300
07139,81,5544291049607929,Male,8000
82472,83,5143572918021788,Female,7200
04932,21,5129949135437872,Male,6700
79395,88,5221654176512800,Female,2800
98558,72,5315070981069133,Male,3500
35572,27,5443009884622932,Female,5400
62947,27,5397630273859615,Male,9900
64956,94,5581837487369192,Female,2800
27820,54,5428795476048390,Male,4600
47665,88,5282943235332920,Male,3500
77393,62,5522403426739680,Female,2600
22300,86,5209801231663443,Male,3700
73765,94,5284597540822641,Male,8900
81187,79,5170289421610868,Female,4000
88599,92,5384316285624321,Male,1800
54936,24,5182144295481944,Male,9900
67306,78,5271201749213372,Male,1000
83065,67,5244981366578694,Female,7900
80209,76,5432348362697252,Female,1200
29380,73,5397618187140966,Female,3100
29779,43,5439286721890676,Male,8600
92443,20,5308347419774156,Female,7400
35883,33,5209565589788504,Male,9100
06850,24,5476483646868499,Male,1600
15979,100,5258039299903340,Female,2200
91888,21,5490012817558704,Male,6800
80894,81,5240415551866428,Male,8000
82812,25,5581237848940890,Female,3900
95305,67,5131226798387967,Female,7700
22353,38,5391523236709751,Male,8900
31504,81,5355931468861014,Female,10000
45554,49,5385973640584175,Male,9600
93067,20,5248747873395088,Male,9900
66445,21,5574301016330760,Female,800
46131,54,5544050644539196,Male,6200
61251,98,5338079620784682,Male,2200
94299,18,5148854159435249,Female,9900
98596,100,5277785284273076,Female,100
15680,30,5418961461593616,Female,2700
90071,33,5434614557694547,Female,1000
91346,66,5323604700769548,Female,3900
84143,72,5398124669683697,Female,5900
35477,93,5259320039226971,Male,3100
72557,29,5547275958827211,Female,3900
09542,47,5376111035271519,Male,9400
51363,66,5187707774787497,Male,5600
46094,56,5382700879028977,Female,5200
50821,40,5484842165970285,Male,2300
32400,37,5368558416457747,Male,7700
00372,37,5389577273253002,Male,6700
97010,53,5279336489138082,Female,3700
21071,20,5310970190441285,Male,8300
96107,61,5154967095676261,Male,5100
46508,86,5516202495755884,Male,4000
97704,34,5255742896307905,Male,1200
55522,90,5521954381055646,Male,300
44734,68,5154292795007521,Female,2500
95723,81,5435676887663822,Female,7000
72392,50,5121514472785008,Female,7300
24141,68,5281626760089632,Male,600
00449,44,5584663910597754,Male,8000
21497,98,5486400405099197,Female,600
33125,90,5431264825262108,Male,9100
55458,70,5143513556331097,Male,6900
77702,31,5493031171359456,Male,9400
09336,35,5550229459841456,Female,1100
05862,40,5511653238819483,Male,6100
43300,99,5408732150172794,Male,9300
84464,96,5386647396834609,Female,7900
44021,36,5496357390461360,Female,4900
67527,62,5414265145438733,Male,4300
36122,62,5532546236478473,Male,6800
73528,54,5399577650515054,Female,3300
79771,28,5578075162295177,Male,6200
18902,45,5469039199810814,Female,500
07314,35,5321141118555047,Male,1600
80140,73,5133489730040759,Male,7600
89377,39,5100836811473318,Female,6200
70468,95,5220086332743782,Female,5000
13751,78,5168282883540859,Female,6800
78686,47,5562151406571554,Female,3200
28796,79,5535468906983665,Female,800
36985,28,5520199887396604,Male,3700
80908,36,5210241363982500,Male,8400
98578,86,5420961729482137,Male,2700
48884,22,5546604283562733,Male,500
24742,28,5197467296662755,Female,8800
98680,43,5132240937000554,Male,9000
62565,54,5159088492586709,Male,3500
83213,69,5355005063686488,Male,5300
62583,41,5197045068780250,Male,5900
07804,38,5260317800529879,Male,9900
98061,76,5193390318575660,Female,6100
31941,47,5260877160710310,Female,3200
31633,88,5317705420234875,Female,9300
43986,55,5525363337469404,Male,4800
09530,49,5192059683006145,Female,1100
21504,41,5395947372779151,Male,8100
99491,62,5573572782088060,Male,7800
25332,82,5112084558194484,Female,2800
64053,31,5394626296301687,Male,7100
45347,90,5445092089868573,Female,7700
19720,81,5596571535316318,Male,8500
97987,91,5547974683730514,Female,4400
01180,76,5173471673727932,Male,2000
98632,64,5200375095504117,Female,2600
64398,94,5366270493321844,Female,9000
50955,50,5456976774232341,Male,9100
58719,21,5308576867572221,Female,800
08308,59,5212737961995008,Female,2400
22711,62,5492825992072698,Female,3400
22955,78,5424408628942072,Female,8300
80795,29,5438231572216713,Female,1300
79365,29,5438996255586091,Female,7100
99795,30,5184789207964060,Female,1600
83070,31,5467651122476794,Female,7100
30145,23,5522747170237154,Female,3800
54236,32,5126574588094385,Male,8900
91700,70,5399469567286799,Male,1000
85466,65,5555425909150077,Male,900
56517,27,5529012943266672,Male,300
33522,19,5324724299778970,Female,2300
67076,59,5297302279738208,Female,8400
36728,32,5429523338389748,Female,2000
71381,83,5318124429561925,Female,1100
13245,86,5446329344809714,Female,1200
67610,78,5276864292342149,Female,9300
68793,39,5471035043227094,Male,9700
73205,28,5377302437070877,Female,7200
78118,88,5228040030121009,Female,7200
63184,37,5258982942390979,Male,7600
68737,70,5291825583170052,Female,7500
65967,48,5393809475656292,Male,200
43411,37,5209106997372191,Female,7400
17762,72,5332670809877408,Male,7600
23982,19,5228812574281401,Female,5900
75343,71,5184249968254649,Female,6800
74702,72,5258001426631202,Male,5300
20548,40,5303175352483310,Male,3300
69156,97,5135576673903411,Male,5700
46364,55,5284475956772750,Female,1900
34470,97,5524492734942480,Female,8000
51989,36,5355955739837230,Female,400
33798,94,5504441498156252,Female,9500
57699,35,5368563674135613,Female,3000
24114,82,5118826770739700,Female,2200
95382,81,5201465738223198,Male,4200
29053,67,5314073032100858,Male,1700
28139,65,5225960146518678,Female,6000
19128,94,5214635330285457,Female,1500
60643,28,5440882142836699,Female,7700
82716,39,5342168073668064,Female,1000
24806,73,5142596115903309,Female,1600
63315,68,5373389411020097,Male,2500
53335,88,5267556012303978,Male,1900
14165,90,5380830537404815,Female,1200
75932,92,5225962791363970,Female,3100
03784,83,5390923608597589,Male,4000
12455,44,5443243893803106,Female,3700
47593,35,5419258373614344,Male,600
31968,72,5432263859841000,Female,7500
85344,80,5445081861346767,Female,5700
77370,99,5131104531160134,Male,3500
97056,44,5451356650827503,Female,4900
27169,70,5303409794605234,Female,2100
20080,81,5477492634333282,Female,300
88012,20,5539468131343608,Male,7500
35379,96,5252216540904261,Male,6000
62945,24,5233672629235668,Male,6700
60454,99,5134248693701321,Male,600
78735,23,5582156842028180,Male,9100
35313,92,5336525058013145,Male,5700
08955,46,5442298717697820,Female,4700
04801,79,5403506070339757,Male,9300
09501,64,5332419431135607,Male,9700
61725,57,5404689586622459,Female,4200
53132,86,5519727349161118,Male,700
08465,55,5298636561912545,Female,1000
67435,44,5152100085870817,Male,3300
20371,22,5512074870840795,Female,200
29260,47,5349266045271745,Female,3300
48566,92,5318509568682344,Female,900
65604,63,5181826169550827,Female,8200
67243,100,5543047842056479,Male,5700
64192,64,5104436677409831,Male,100
21647,34,5503780167910346,Male,1100
04337,74,5477280210681533,Female,3400
17068,24,5338783612672926,Male,600
02263,44,5342074882007165,Male,2400
39300,98,5502653591062862,Male,6800
20948,67,5328067029671214,Female,2200
73004,90,5409682851347089,Female,700
79753,25,5144778394012006,Female,8400
98789,30,5594553222872417,Female,5800
91507,64,5476145288942557,Male,1600
67682,20,5330666492990641,Male,2900
31795,20,5494158926215755,Female,1900
32901,44,5497939918961648,Male,6700
19980,34,5252987155285515,Male,6000
20903,93,5348585797025533,Female,1000
96435,50,5231831259503280,Female,3400
16398,80,5120446357644516,Male,5800
93266,99,5378247223995283,Male,400
15425,92,5243258620464214,Male,7900
68465,47,5317588273976861,Female,4500
67481,54,5426778409672652,Female,4400
71022,85,5274143999616457,Male,1600
24557,30,5582505314407787,Female,8900
40899,99,5557796771115903,Female,5200
78025,24,5578947793960132,Female,4900
42269,39,5243091276812059,Female,4800
66812,75,5217286179978633,Female,1100
65662,62,5287341967689473,Female,7000
14403,33,5246167248364408,Male,2700
49462,56,5336233282093872,Female,7300
56457,76,5265565261886593,Female,2700
41268,64,5267739864351747,Male,6000
38261,86,5424399065580253,Male,8000
18779,22,5365993171139151,Female,5900
39072,63,5127627056540344,Male,1100
69587,47,5475789913613298,Male,1800
15941,60,5452364266938119,Male,6800
30824,64,5154965179559940,Male,3600
70429,92,5511865690208076,Female,8200
86365,46,5504634876350105,Male,1000
72156,97,5564170820395703,Male,1300
11111,28,5410817803102565,Male,3700
98717,48,5372757520395868,Female,5100
39118,33,5539677155885126,Female,5100
44647,57,5543333336750623,Male,1900
36137,51,5430973452967141,Female,1000
99038,44,5490595001645832,Male,6100
97724,26,5168998171973102,Female,8600
14861,63,5561710183746738,Male,4900
07692,33,5240495031773030,Male,5900
38135,70,5288540063325432,Female,800
02159,35,5285681272709363,Male,5600
91726,21,5358185170865782,Female,5400
36384,31,5537270582626990,Male,2600
19785,39,5318227745059290,Female,2400
28350,96,5122542381950131,Male,8100
23552,35,5368124901049661,Male,6200
65960,63,5130186862408720,Male,3900
35494,48,5456778225178515,Female,2100
88491,55,5377970090188127,Female,9500
24106,80,5591256590403673,Female,8300
76193,98,5181522392068501,Male,500
39107,100,5234012524362607,Male,200
82144,47,5231821864245427,Female,4600
09088,84,5128736581487779,Female,5900
81651,23,5445179345281921,Male,3600
11774,87,5292201228007589,Female,8400
29926,64,5424101874606877,Female,1800
98574,77,5401461134271038,Male,8000
87324,85,5326348908184327,Male,6800
05024,86,5107854403648679,Female,4200
40101,46,5456332703141890,Male,2700
